Activity,time,seconds_elapsed,dBFS
Classroom,1.78E+18,38.41799976,-32.2686758
Classroom,1.78E+18,38.533,-33.21047318
Classroom,1.78E+18,38.648,-32.52269957
Classroom,1.78E+18,38.764,-34.68799485
Classroom,1.78E+18,38.879,-34.61638777
Classroom,1.78E+18,38.99399976,-36.70202335
Classroom,1.78E+18,39.109,-37.28317334
Classroom,1.78E+18,39.225,-36.94101529
Classroom,1.78E+18,39.341,-41.18141296
Classroom,1.78E+18,39.457,-37.9687268
Classroom,1.78E+18,39.572,-38.53209911
Classroom,1.78E+18,39.687,-40.04438162
Classroom,1.78E+18,39.803,-32.52269957
Classroom,1.78E+18,39.917,-28.88582781
Classroom,1.78E+18,40.033,-27.1716956
Classroom,1.78E+18,40.165,-27.31203969
Classroom,1.78E+18,40.27800024,-35.85605517
Classroom,1.78E+18,40.393,-37.30258316
Classroom,1.78E+18,40.509,-38.62210914
Classroom,1.78E+18,40.624,-38.80497672
Classroom,1.78E+18,40.739,-37.88520799
Classroom,1.78E+18,40.855,-34.50303034
Classroom,1.78E+18,40.96999976,-34.43292593
Classroom,1.78E+18,41.08600024,-39.15858958
Classroom,1.78E+18,41.2,-40.0710664
Classroom,1.78E+18,41.316,-40.73740371
Classroom,1.78E+18,41.431,-41.4278377
Classroom,1.78E+18,41.54599976,-40.39784687
Classroom,1.78E+18,41.66200024,-36.17437798
Classroom,1.78E+18,41.77799976,-40.8828994
Classroom,1.78E+18,41.893,-43.94746692
Classroom,1.78E+18,42.008,-47.57432228
Classroom,1.78E+18,42.123,-45.6997552
Classroom,1.78E+18,42.239,-41.00107659
Classroom,1.78E+18,42.35399976,-40.0710664
Classroom,1.78E+18,42.47000024,-40.26019122
Classroom,1.78E+18,42.585,-37.86445316
Classroom,1.78E+18,42.7,-37.3806591
Classroom,1.78E+18,42.815,-41.87665509
Classroom,1.78E+18,42.92999976,-42.6324263
Classroom,1.78E+18,43.04600024,-39.42737274
Classroom,1.78E+18,43.161,-37.24448335
Classroom,1.78E+18,43.276,-40.8828994
Classroom,1.78E+18,43.392,-44.33167209
Classroom,1.78E+18,43.507,-40.67988105
Classroom,1.78E+18,43.62200024,-37.84374781
Classroom,1.78E+18,43.737,-40.37014066
Classroom,1.78E+18,43.853,-42.14393432
Classroom,1.78E+18,44.016,-41.18141296
Classroom,1.78E+18,44.10200024,-42.85049356
Classroom,1.78E+18,44.216,-45.251673
Classroom,1.78E+18,44.332,-41.74603774
Classroom,1.78E+18,44.447,-41.84381614
Classroom,1.78E+18,44.563,-39.11060112
Classroom,1.78E+18,44.67800024,-37.30258316
Classroom,1.78E+18,44.79399976,-44.96529905
Classroom,1.78E+18,44.91000024,-45.80254799
Classroom,1.78E+18,45.025,-45.251673
Classroom,1.78E+18,45.141,-44.68806628
Classroom,1.78E+18,45.256,-35.92210788
Classroom,1.78E+18,45.372,-35.59675563
Classroom,1.78E+18,45.487,-38.33292349
Classroom,1.78E+18,45.60199976,-34.18513414
Classroom,1.78E+18,45.717,-30.58225808
Classroom,1.78E+18,45.833,-30.08578641
Classroom,1.78E+18,45.948,-28.55310527
Classroom,1.78E+18,46.064,-31.89583359
Classroom,1.78E+18,46.17799976,-35.14564118
Classroom,1.78E+18,46.29400024,-32.56764606
Classroom,1.78E+18,46.409,-38.03189719
Classroom,1.78E+18,46.524,-46.90349931
Classroom,1.78E+18,46.639,-34.18513414
Classroom,1.78E+18,46.755,-39.08670595
Classroom,1.78E+18,46.871,-30.31742386
Classroom,1.78E+18,46.98599976,-33.67133814
Classroom,1.78E+18,47.101,-34.13101628
Classroom,1.78E+18,47.216,-34.33572071
Classroom,1.78E+18,47.332,-36.05573959
Classroom,1.78E+18,47.447,-33.54434918
Classroom,1.78E+18,47.56199976,-37.74095502
Classroom,1.78E+18,47.677,-32.84232159
Classroom,1.78E+18,47.79399976,-32.62415823
Classroom,1.78E+18,47.909,-35.53312245
Classroom,1.78E+18,48.029,-36.41662964
Classroom,1.78E+18,48.14599976,-34.40504183
Classroom,1.78E+18,48.261,-35.82321623
Classroom,1.78E+18,48.377,-33.99717866
Classroom,1.78E+18,48.492,-35.07017685
Classroom,1.78E+18,48.608,-34.50303034
Classroom,1.78E+18,48.723,-32.5114992
Classroom,1.78E+18,48.83800024,-33.06610604
Classroom,1.78E+18,48.95399976,-35.26776467
Classroom,1.78E+18,49.069,-43.86434773
Classroom,1.78E+18,49.184,-46.11843333
Classroom,1.78E+18,49.3,-39.18268361
Classroom,1.78E+18,49.415,-37.74095502
Classroom,1.78E+18,49.531,-38.39880919
Classroom,1.78E+18,49.64600024,-41.4278377
Classroom,1.78E+18,49.76199976,-39.57756477
Classroom,1.78E+18,49.87800024,-37.72054164
Classroom,1.78E+18,49.992,-35.43853833
Classroom,1.78E+18,50.108,-41.87665509
Classroom,1.78E+18,50.223,-44.64270905
Classroom,1.78E+18,50.33799976,-43.57953895
Classroom,1.78E+18,50.45400024,-44.91847474
Classroom,1.78E+18,50.569,-41.12088387
Classroom,1.78E+18,50.685,-38.92125543
Classroom,1.78E+18,50.8,-35.04017375
Classroom,1.78E+18,50.915,-39.27973366
Classroom,1.78E+18,51.031,-37.88520799
Classroom,1.78E+18,51.14599976,-38.75889763
Classroom,1.78E+18,51.26200024,-37.43968009
Classroom,1.78E+18,51.37799976,-41.39664956
Classroom,1.78E+18,51.493,-41.06077366
Classroom,1.78E+18,51.609,-36.64779286
Classroom,1.78E+18,51.724,-32.25779804
Classroom,1.78E+18,51.839,-28.85638409
Classroom,1.78E+18,51.95399976,-29.52045124
Classroom,1.78E+18,52.069,-29.06461745
Classroom,1.78E+18,52.184,-38.71306169
Classroom,1.78E+18,52.3,-33.34495128
Classroom,1.78E+18,52.41400024,-31.32093349
Classroom,1.78E+18,52.529,-29.83545526
Classroom,1.78E+18,52.644,-35.69308811
Classroom,1.78E+18,52.76,-32.41134049
Classroom,1.78E+18,52.876,-35.66085843
Classroom,1.78E+18,52.99000024,-33.03038608
Classroom,1.78E+18,53.10599976,-34.6449598
Classroom,1.78E+18,53.22200024,-32.60150922
Classroom,1.78E+18,53.337,-33.99717866
Classroom,1.78E+18,53.452,-33.3326396
Classroom,1.78E+18,53.568,-35.48570165
Classroom,1.78E+18,53.683,-38.42088262
Classroom,1.78E+18,53.79800024,-43.11202398
Classroom,1.78E+18,53.91399976,-34.55952413
Classroom,1.78E+18,54.029,-32.54514374
Classroom,1.78E+18,54.145,-42.66839277
Classroom,1.78E+18,54.26,-42.04273834
Classroom,1.78E+18,54.376,-37.32203645
Classroom,1.78E+18,54.492,-36.79316679
Classroom,1.78E+18,54.607,-40.15161619
Classroom,1.78E+18,54.72199976,-43.9058079
Classroom,1.78E+18,54.83800024,-44.82557664
Classroom,1.78E+18,54.95399976,-45.251673
Classroom,1.78E+18,55.069,-45.3492683
Classroom,1.78E+18,55.185,-39.45222508
Classroom,1.78E+18,55.3,-39.60285122
Classroom,1.78E+18,55.416,-40.20573406
Classroom,1.78E+18,55.531,-38.94469914
Classroom,1.78E+18,55.64600024,-38.55451432
Classroom,1.78E+18,55.76,-45.75099953
Classroom,1.78E+18,55.876,-43.38167413
Classroom,1.78E+18,55.992,-35.252405
Classroom,1.78E+18,56.107,-39.11060112
Classroom,1.78E+18,56.223,-39.91217375
Classroom,1.78E+18,56.339,-43.26508326
Classroom,1.78E+18,56.45400024,-40.65126195
Classroom,1.78E+18,56.569,-41.15109569
Classroom,1.78E+18,56.685,-46.28079114
Classroom,1.78E+18,56.8,-47.32435137
Classroom,1.78E+18,56.916,-46.33559188
Classroom,1.78E+18,57.031,-46.22633397
Classroom,1.78E+18,57.14599976,-45.44797265
Classroom,1.78E+18,57.261,-43.94746692
Classroom,1.78E+18,57.377,-43.74114155
Classroom,1.78E+18,57.492,-44.15881286
Classroom,1.78E+18,57.607,-45.54781156
Classroom,1.78E+18,57.723,-23.90165297
Classroom,1.78E+18,57.83800024,-23.06662724
Classroom,1.78E+18,57.953,-28.61006212
Classroom,1.78E+18,58.068,-31.71014242
Classroom,1.78E+18,58.183,-39.2553693
Classroom,1.78E+18,58.299,-46.67186186
Classroom,1.78E+18,58.415,-42.31525919
Classroom,1.78E+18,58.531,-44.15881286
Classroom,1.78E+18,58.64600024,-35.59675563
Classroom,1.78E+18,58.76199976,-36.48710378
Classroom,1.78E+18,58.877,-36.54033718
Classroom,1.78E+18,58.993,-39.08670595
Classroom,1.78E+18,59.108,-37.07247991
Classroom,1.78E+18,59.223,-34.68799485
Classroom,1.78E+18,59.33799976,-38.31107218
Classroom,1.78E+18,59.453,-32.13903325
Classroom,1.78E+18,59.568,-31.52833809
Classroom,1.78E+18,59.684,-41.49055198
Classroom,1.78E+18,59.799,-42.04273834
Classroom,1.78E+18,59.915,-40.53771929
Classroom,1.78E+18,60.031,-34.09064801
Classroom,1.78E+18,60.14599976,-33.48154421
Classroom,1.78E+18,60.26200024,-34.50303034
Classroom,1.78E+18,60.377,-31.75106542
Classroom,1.78E+18,60.492,-32.55638762
Classroom,1.78E+18,60.608,-32.24693388
Classroom,1.78E+18,60.723,-35.64478832
Classroom,1.78E+18,60.83800024,-38.92125543
Classroom,1.78E+18,60.953,-39.40259129
Classroom,1.78E+18,61.069,-42.92441647
Classroom,1.78E+18,61.185,-37.98973259
Classroom,1.78E+18,61.3,-40.62273684
Classroom,1.78E+18,61.416,-35.46995207
Classroom,1.78E+18,61.531,-30.26541239
Classroom,1.78E+18,61.64600024,-34.77470994
Classroom,1.78E+18,61.76199976,-29.76990106
Classroom,1.78E+18,61.87800024,-34.10408326
Classroom,1.78E+18,61.993,-35.19123651
Classroom,1.78E+18,62.108,-37.18676958
Classroom,1.78E+18,62.224,-37.41996183
Classroom,1.78E+18,62.339,-36.95967457
Classroom,1.78E+18,62.45400024,-35.02521098
Classroom,1.78E+18,62.569,-32.02187048
Classroom,1.78E+18,62.685,-34.5453662
Classroom,1.78E+18,62.8,-38.64475814
Classroom,1.78E+18,62.91399976,-36.75659457
Classroom,1.78E+18,63.032,-33.45654883
Classroom,1.78E+18,63.14599976,-34.17157303
Classroom,1.78E+18,63.261,-39.78194808
Classroom,1.78E+18,63.376,-45.8544042
Classroom,1.78E+18,63.492,-47.70205825
Classroom,1.78E+18,63.607,-47.20201287
Classroom,1.78E+18,63.72199976,-35.8068432
Classroom,1.78E+18,63.837,-34.84763976
Classroom,1.78E+18,63.953,-36.19145938
Classroom,1.78E+18,64.069,-39.32866838
Classroom,1.78E+18,64.183,-43.22656484
Classroom,1.78E+18,64.299,-47.08137358
Classroom,1.78E+18,64.41400024,-48.44029992
Classroom,1.78E+18,64.529,-46.84500825
Classroom,1.78E+18,64.645,-46.33559188
Classroom,1.78E+18,64.76,-39.65364604
Classroom,1.78E+18,64.876,-39.96481566
Classroom,1.78E+18,64.991,-41.45913824
Classroom,1.78E+18,65.108,-44.7336616
Classroom,1.78E+18,65.224,-39.67915528
Classroom,1.78E+18,65.34,-34.65928114
Classroom,1.78E+18,65.455,-40.56596611
Classroom,1.78E+18,65.571,-40.45352584
Classroom,1.78E+18,65.68600024,-37.98973259
Classroom,1.78E+18,65.801,-39.35323952
Classroom,1.78E+18,65.916,-31.14701665
Classroom,1.78E+18,66.031,-29.55223861
Classroom,1.78E+18,66.148,-35.98866675
Classroom,1.78E+18,66.263,-29.88494764
Classroom,1.78E+18,66.37799976,-26.74646858
Classroom,1.78E+18,66.493,-34.06383969
Classroom,1.78E+18,66.609,-39.11060112
Classroom,1.78E+18,66.724,-34.789247
Classroom,1.78E+18,66.839,-34.74570862
Classroom,1.78E+18,66.95399976,-36.27737392
Classroom,1.78E+18,67.069,-38.2026327
Classroom,1.78E+18,67.185,-37.24448335
Classroom,1.78E+18,67.3,-30.23952298
