Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Classroom,1.77575E+18,337.7797515,-0.334759593,0.31353882,-0.818580985,0.345766634,-2.588698626,0.888292968,-2.678402185
Classroom,1.77575E+18,339.8719995,-0.335811794,0.31620416,-0.817600429,0.344637603,-2.588909864,0.888175189,-2.671776533
Classroom,1.77575E+18,341.9643391,-0.335424781,0.315951496,-0.817764521,0.34485665,-2.589747906,0.888265669,-2.672056913
Classroom,1.77575E+18,344.0561599,-0.335342944,0.315988839,-0.817744076,0.344950348,-2.590045691,0.888444006,-2.671871185
Classroom,1.77575E+18,346.1480417,-0.335690588,0.316486329,-0.817501068,0.344732314,-2.589637756,0.888490915,-2.67083478
Classroom,1.77575E+18,348.2401067,-0.335436434,0.316154122,-0.817684352,0.344849855,-2.589972734,0.88838768,-2.671488047
Classroom,1.77575E+18,350.3322327,-0.335404307,0.31643033,-0.817678511,0.344641358,-2.590402365,0.888102233,-2.670581341
Classroom,1.77575E+18,352.4242976,-0.334577143,0.314385295,-0.818480372,0.345412642,-2.590292215,0.887980759,-2.675606012
Classroom,1.77575E+18,354.5167288,-0.334351867,0.313910663,-0.81873256,0.345464706,-2.590354204,0.887664557,-2.676683903
Classroom,1.77575E+18,356.6091599,-0.33473292,0.314708829,-0.818430364,0.345085621,-2.590219021,0.887576222,-2.674775362
Classroom,1.77575E+18,358.7015269,-0.334820539,0.314299852,-0.818454981,0.345314831,-2.589456558,0.887851059,-2.676144838
Classroom,1.77575E+18,360.7940183,-0.335418224,0.315970123,-0.817849815,0.344643772,-2.589772463,0.887820244,-2.671923161
Classroom,1.77575E+18,362.8863269,-0.335063607,0.315451324,-0.818194449,0.344646037,-2.590155125,0.887296796,-2.672938824
Classroom,1.77575E+18,364.9788794,-0.334862053,0.315273136,-0.81831795,0.344711423,-2.590527296,0.887210667,-2.673202515
Classroom,1.77575E+18,367.0706689,-0.334860027,0.314952314,-0.818307579,0.345031261,-2.590150833,0.887686074,-2.67422843
Classroom,1.77575E+18,369.162468,-0.335015059,0.314943641,-0.817975819,0.345674992,-2.589736462,0.889138639,-2.674679518
Classroom,1.77575E+18,371.2543496,-0.335490525,0.316286892,-0.817613244,0.344844073,-2.589982748,0.888490319,-2.67117691
Classroom,1.77575E+18,373.345926,-0.335501075,0.316007912,-0.817796588,0.344654799,-2.589577198,0.887913883,-2.671929598
Classroom,1.77575E+18,375.437655,-0.335455775,0.315475494,-0.81792897,0.344872236,-2.589048386,0.888010681,-2.673471212
Classroom,1.77575E+18,377.5295061,-0.336030364,0.315466642,-0.817610383,0.345076203,-2.587356806,0.888756573,-2.674337864
Classroom,1.77575E+18,379.6214897,-0.335734904,0.315022945,-0.817976236,0.344902307,-2.587648153,0.887937963,-2.675155401
Classroom,1.77575E+18,381.7133408,-0.335175782,0.314554214,-0.818312407,0.345076561,-2.588713884,0.887701154,-2.675810099
Classroom,1.77575E+18,383.8054976,-0.335234433,0.314774513,-0.818190098,0.345108628,-2.588824987,0.887943029,-2.675267458
Classroom,1.77575E+18,385.8978677,-0.335164517,0.314659089,-0.818219304,0.3452124,-2.588891983,0.888051689,-2.675540209
Classroom,1.77575E+18,387.990238,-0.335185409,0.314900815,-0.818157494,0.345118135,-2.589131832,0.888017297,-2.674842119
Classroom,1.77575E+18,390.0830647,-0.335008949,0.314356744,-0.818295479,0.34545821,-2.588984489,0.888296485,-2.676283598
Classroom,1.77575E+18,392.17574,-0.335008502,0.314117998,-0.818363607,0.345514357,-2.588684797,0.888262868,-2.67698741
